zipcode ,counts,latitude,longitude
99207,128,47.693904,-117.393207
99208,105,47.7872,-117.4645
99205,86,47.7001,-117.4517
99223,68,47.5888,-117.3272
99202,66,47.6569,-117.372
99201,55,47.6601,-117.4316
99224,41,47.6729,-117.5361
99217,28,47.7315,-117.2677
99218,20,47.7548,-117.4046
99204,18,47.6458,-117.4254
99203,13,47.626,-117.4092
99212,4,47.6625,-117.3087
99004,3,47.4869,-117.576
99001,2,47.6444,-117.5844
99216,2,47.6761,-117.2109
99206,1,47.6098,-117.2454
